sweep_id,direction,side,swept_swing_level,swing_index,swing_time,swing_confirm_time,breach_time,breach_index,breach_extreme,breach_distance_atr,rejection_close_time,rejection_index,rejection_close_price,bars_breach_to_rejection,frozen_atr,session,year,segment_id
426,bearish,buy_side,1298.009500,38544,2017-08-18 09:15:00,2017-08-18 11:45:00,2017-08-18 13:15:00,38560,1300.930000,2.192039,2017-08-18 13:30:00,38561,1297.871000,1,1.332321,ny_overlap,2017,422
427,bullish,sell_side,1286.065000,38512,2017-08-18 01:15:00,2017-08-18 03:45:00,2017-08-18 16:45:00,38574,1283.609500,0.795561,2017-08-18 17:00:00,38575,1286.430000,1,3.086500,off_session,2017,422
428,bearish,buy_side,1289.235000,38633,2017-08-21 08:30:00,2017-08-21 11:00:00,2017-08-21 13:15:00,38652,1289.601500,0.360058,2017-08-21 13:30:00,38653,1289.136000,1,1.017893,ny_overlap,2017,423
429,bullish,sell_side,1284.435000,38736,2017-08-22 11:15:00,2017-08-22 13:45:00,2017-08-22 14:00:00,38747,1283.743000,0.372881,2017-08-22 14:15:00,38748,1285.135000,1,1.855821,ny_overlap,2017,424
430,bearish,buy_side,1286.801500,38797,2017-08-23 03:30:00,2017-08-23 06:00:00,2017-08-23 06:30:00,38809,1287.186000,0.442954,2017-08-23 06:45:00,38810,1286.614500,1,0.868036,asian,2017,425
431,bullish,sell_side,1287.248000,38884,2017-08-24 02:15:00,2017-08-24 04:45:00,2017-08-24 07:15:00,38904,1285.785000,1.681816,2017-08-24 08:00:00,38907,1287.498000,3,0.869893,london,2017,426
432,bullish,sell_side,1285.990000,38997,2017-08-25 07:30:00,2017-08-25 10:00:00,2017-08-25 12:15:00,39016,1285.565000,0.550060,2017-08-25 12:45:00,39018,1286.317000,2,0.772643,ny_overlap,2017,427
433,bearish,buy_side,1288.530000,39002,2017-08-25 08:45:00,2017-08-25 11:15:00,2017-08-25 13:30:00,39021,1294.525000,4.497374,2017-08-25 13:45:00,39022,1282.940000,1,1.333000,ny_overlap,2017,427
434,bearish,buy_side,1298.944500,39085,2017-08-28 06:30:00,2017-08-28 09:00:00,2017-08-28 11:45:00,39106,1299.266500,0.402015,2017-08-28 12:00:00,39107,1298.255000,1,0.800964,ny_overlap,2017,428
435,bullish,sell_side,1319.020000,39191,2017-08-29 10:00:00,2017-08-29 12:30:00,2017-08-29 14:15:00,39208,1318.140000,0.396792,2017-08-29 14:30:00,39209,1319.679000,1,2.217786,ny_overlap,2017,429
436,bullish,sell_side,1306.395000,39271,2017-08-30 07:00:00,2017-08-30 09:30:00,2017-08-30 12:30:00,39293,1305.415000,0.677648,2017-08-30 12:45:00,39294,1307.029500,1,1.446179,ny_overlap,2017,430
437,bullish,sell_side,1318.586500,39433,2017-09-01 01:30:00,2017-09-01 04:00:00,2017-09-01 07:15:00,39456,1317.833500,1.237978,2017-09-01 07:30:00,39457,1319.001500,1,0.608250,london,2017,432
438,bearish,buy_side,1320.304000,39443,2017-09-01 04:00:00,2017-09-01 06:30:00,2017-09-01 12:00:00,39475,1321.200000,1.008036,2017-09-01 12:15:00,39476,1319.819500,1,0.888857,ny_overlap,2017,432
439,bullish,sell_side,1317.833500,39456,2017-09-01 07:15:00,2017-09-01 09:45:00,2017-09-01 14:30:00,39485,1316.538500,0.379138,2017-09-01 14:45:00,39486,1321.975000,1,3.415643,ny_overlap,2017,432
440,bullish,sell_side,1329.455000,39629,2017-09-05 08:30:00,2017-09-05 11:00:00,2017-09-05 11:30:00,39641,1326.395000,2.152656,2017-09-05 11:45:00,39642,1330.335000,1,1.421500,london,2017,434
441,bullish,sell_side,1337.475000,39706,2017-09-06 04:45:00,2017-09-06 07:15:00,2017-09-06 08:00:00,39719,1336.430500,1.094045,2017-09-06 08:15:00,39720,1338.300500,1,0.954714,london,2017,435
442,bearish,buy_side,1339.625000,39711,2017-09-06 06:00:00,2017-09-06 08:30:00,2017-09-06 09:00:00,39723,1339.976500,0.303204,2017-09-06 09:30:00,39725,1339.530000,2,1.159286,london,2017,435
443,bullish,sell_side,1336.430500,39719,2017-09-06 08:00:00,2017-09-06 10:30:00,2017-09-06 14:45:00,39746,1335.904500,0.328633,2017-09-06 15:00:00,39747,1339.450000,1,1.600571,ny_overlap,2017,435
444,bearish,buy_side,1348.230000,39830,2017-09-07 12:45:00,2017-09-07 15:15:00,2017-09-07 15:30:00,39841,1349.434500,0.426188,2017-09-07 15:45:00,39842,1346.661000,1,2.826214,ny_overlap,2017,436
445,bullish,sell_side,1331.494000,40015,2017-09-11 13:00:00,2017-09-11 15:30:00,2017-09-11 17:15:00,40032,1330.064500,1.002003,2017-09-11 17:30:00,40033,1331.535000,1,1.426643,off_session,2017,438
446,bullish,sell_side,1323.395000,40074,2017-09-12 04:45:00,2017-09-12 07:15:00,2017-09-12 11:00:00,40099,1322.705000,0.602865,2017-09-12 11:15:00,40100,1324.226500,1,1.144536,london,2017,439
447,bearish,buy_side,1328.621000,40088,2017-09-12 08:15:00,2017-09-12 10:45:00,2017-09-12 12:30:00,40105,1329.352000,0.562061,2017-09-12 12:45:00,40106,1326.379500,1,1.300571,ny_overlap,2017,439
448,bearish,buy_side,1333.276500,40157,2017-09-13 02:30:00,2017-09-13 05:00:00,2017-09-13 08:30:00,40181,1333.538500,0.260133,2017-09-13 09:00:00,40183,1332.500000,2,1.007179,london,2017,440
449,bullish,sell_side,1320.191500,40264,2017-09-14 06:15:00,2017-09-14 08:45:00,2017-09-14 12:00:00,40287,1319.335000,0.590923,2017-09-14 12:15:00,40288,1320.711500,1,1.449429,ny_overlap,2017,441
