WYCKOFF_RSI_ENTRY_RR_MATRIX_CONTEXT
tick_file=data/2026.6.15XAUUSD-TICK-No Session.csv
bars=246886
date_range=2016-01-03 23:00:00 to 2026-06-15 00:00:00 UTC
compression_events_total=2800
wyckoff_covered_events=916
approach_a=enter immediately at compression-end close in signal direction
approach_b=enter broken range edge in breakout direction only when signal agrees
approach_a_simple_follow=oracle eventual breakout direction, included only as requested comparator
spread_usd_oz=0.20
fill_rule=TP limit at target; SL at adverse OHLC extreme; if same bar can hit both, stop first
approach_b_intrabar_note=edge entry uses next bar for TP/SL evaluation because breakout-bar tick order is unavailable
train_period=2016-01-03 through 2021-12-31; test_period=2022-01-01 through 2026-06-15

MATRIX_ALL
period,approach,stop,rr,horizon,signal,n,direction_correct,win_rate,breakeven_win_rate,win_minus_breakeven,net_expectancy_r,ci_low,ci_high,unresolved_pct,target_count,stop_count,force_count,avg_risk_usd_oz,avg_spread_r,ci_clears_zero
train_2016_2021,A_immediate_compression_close,fixed_10,2,20,simple_follow,557,61.94%,73.97%,34.00%,39.97%,0.275816,0.227895,0.323736,93.54%,17,19,521,10.000000,0.020000,True
train_2016_2021,A_immediate_compression_close,atr_1x,1,10,wyckoff_rsi,557,47.04%,49.19%,59.53%,-10.34%,-0.475290,-0.586452,-0.364128,0.00%,274,283,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,10,coin_flip,557,50.81%,49.91%,59.53%,-9.62%,-0.474863,-0.587396,-0.362331,0.00%,278,279,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,10,prior_momentum,556,46.94%,47.48%,59.53%,-12.05%,-0.546047,-0.661359,-0.430735,0.00%,264,292,0,1.312509,0.190545,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,10,simple_follow,557,61.94%,68.22%,59.53%,8.69%,0.036701,-0.059957,0.133358,0.00%,380,177,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,20,wyckoff_rsi,557,47.04%,49.19%,59.53%,-10.34%,-0.475290,-0.586452,-0.364128,0.00%,274,283,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,20,coin_flip,557,50.81%,49.91%,59.53%,-9.62%,-0.474863,-0.587396,-0.362331,0.00%,278,279,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,20,prior_momentum,556,46.94%,47.48%,59.53%,-12.05%,-0.546047,-0.661359,-0.430735,0.00%,264,292,0,1.312509,0.190545,False
train_2016_2021,A_immediate_compression_close,atr_1x,1,20,simple_follow,557,61.94%,68.22%,59.53%,8.69%,0.036701,-0.059957,0.133358,0.00%,380,177,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,10,wyckoff_rsi,557,47.04%,35.37%,39.69%,-4.32%,-0.517875,-0.665970,-0.369779,3.95%,183,352,22,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,10,coin_flip,557,50.81%,35.55%,39.69%,-4.14%,-0.548811,-0.699030,-0.398593,6.46%,174,347,36,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,10,prior_momentum,556,46.94%,34.35%,39.68%,-5.33%,-0.566646,-0.714258,-0.419033,5.04%,174,354,28,1.312509,0.190545,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,10,simple_follow,557,61.94%,57.45%,39.69%,17.76%,0.313840,0.172223,0.455457,5.57%,297,229,31,1.311684,0.190624,True
train_2016_2021,A_immediate_compression_close,atr_1x,2,20,wyckoff_rsi,557,47.04%,35.01%,39.69%,-4.68%,-0.521822,-0.672689,-0.370955,0.00%,195,362,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,20,coin_flip,557,50.81%,33.03%,39.69%,-6.65%,-0.624067,-0.776829,-0.471305,0.00%,184,373,0,1.311684,0.190624,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,20,prior_momentum,556,46.94%,33.63%,39.68%,-6.05%,-0.582101,-0.732505,-0.431698,0.00%,187,369,0,1.312509,0.190545,False
train_2016_2021,A_immediate_compression_close,atr_1x,2,20,simple_follow,557,61.94%,57.27%,39.69%,17.58%,0.332975,0.188188,0.477762,0.00%,319,238,0,1.311684,0.190624,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,10,wyckoff_rsi,392,100.00%,57.65%,51.00%,6.65%,0.072855,0.030115,0.115595,89.54%,29,12,351,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,10,coin_flip,273,100.00%,54.58%,51.00%,3.58%,0.074731,0.018546,0.130916,86.81%,26,10,237,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,10,prior_momentum,326,100.00%,58.59%,51.00%,7.59%,0.075811,0.026304,0.125317,87.73%,29,11,286,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,10,simple_follow,557,100.00%,58.17%,51.00%,7.17%,0.084641,0.046292,0.122990,87.25%,53,18,486,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,20,wyckoff_rsi,392,100.00%,61.22%,51.00%,10.22%,0.104040,0.043133,0.164948,73.72%,68,35,289,10.000000,0.020000,True
train_2016_2021,B_breakout_edge_filter,fixed_10,1,20,coin_flip,273,100.00%,61.17%,51.00%,10.17%,0.082503,0.004943,0.160064,71.43%,49,29,195,10.000000,0.020000,True
